#FamilyID	pvalue	Significant at 0.05
OG0000319	0	y
OG0000800	0.017	y
OG0001286	0.004	y
OG0001499	0.206	n
OG0001836	0.321	n
OG0001922	0.018	y
OG0002097	0.37	n
OG0002218	0.03	y
OG0002655	0.766	n
OG0002735	0.141	n
OG0002834	0.705	n
OG0003396	0.402	n
OG0003844	0.62	n
OG0004420	0.988	n
OG0004635	0.791	n
OG0004716	0.028	y
OG0004763	0.835	n
OG0005268	0.969	n
OG0005485	0.987	n
OG0005781	0.93	n
OG0006116	0.947	n
OG0007948	0.952	n
OG0008166	0.986	n
OG0008371	0.955	n
OG0008632	0.926	n
OG0009707	0.945	n
