#FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>	
OG0000274	3.62169e-05	0.0344019	0.741881	0.444566	0.0480773	0.00137248	0.0487728	0.0920876	0.0774998	0.142378	0.118075	0.556384	0.623693	0.882554	0.00898698	0.320087	0.771993	0.0265746	0.703668	0.0290508	0.122703	0.375	0.0884571	0.248815	0.321377	0.323735	0.568878	0.343259	0.000300322	0.851653	0.554448	0.545058	0.0256803	0.233796	0.539265	0.0437054	0.773906	0.556242	0.382463	N/A
OG0000571	0.290093	0.0283519	0.0793474	0.452334	0.795136	0.0692661	0.854606	0.00134495	0.715237	0.136328	0.47318	0.0173168	0.0535161	0.595408	0.0987399	0.0174708	0.710512	0.317601	0.662163	0.768924	0.487785	0.875	0.224737	0.175269	0.252754	0.8139	0.623868	0.274755	0.00350844	0.47993	0.60017	0.58412	0.548818	0.655356	0.539265	0.428874	0.773906	0.556242	0.751642	N/A
OG0000640	0.320006	0.0741751	0.0921436	0.487986	0.475821	0.0266846	0.779909	0.7837	0.153371	0.136328	0.795898	0.783341	0.559873	0.483634	0.01527	0.12826	0.119595	0.805537	0.609261	0.135356	0.487785	0.875	0.173817	0.700744	0.252754	0.8139	0.623868	0.82599	0.600116	0.351065	0.60017	0.58412	0.570517	0.314095	0.557148	0.1634	0.000122725	0.58076	0.12855	N/A
OG0002809	0.656572	0.164095	0.550692	0.64536	0.258645	2.38375e-06	0.642375	0.0121985	0.59546	0.157411	0.0549742	0.596509	0.521274	0.666955	0.02001	0.629402	0.559034	0.0708524	0.541219	0.587601	0.728971	0.75	0.611982	0.586777	0.0312811	0.323735	0.568878	0.742071	0.537331	0.723631	0.554448	0.545058	0.525366	0.589243	0.520243	0.27465	0.0201746	0.529405	0.663341	N/A
