#FamilyID	Likelihood of Family
OG0000274	-85.4285
OG0000571	-61.0108
OG0000640	-59.8069
OG0001464	-40.8409
OG0001580	-45.1035
OG0001936	-37.9872
OG0002104	-44.2358
OG0002287	-43.2426
OG0002657	-42.8835
OG0002668	-30.6766
OG0002809	-48.4788
OG0003284	-35.8764
OG0004673	-33.5867
OG0005472	-25.2757
OG0005797	-27.5847
OG0007661	-17.5976
