#FamilyID	pvalue	Significant at 0.05
OG0000274	0	y
OG0000571	0	y
OG0000640	0.001	y
OG0001464	0.325	n
OG0001580	0.183	n
OG0001936	0.528	n
OG0002104	0.136	n
OG0002287	0.104	n
OG0002657	0.066	n
OG0002668	0.971	n
OG0002809	0.012	y
OG0003284	0.624	n
OG0004673	0.653	n
OG0005472	0.993	n
OG0005797	0.929	n
OG0007661	0.991	n
